source,target,edge
Two police officers,armed National Police Olla,injured
Fatalities,two  events,split across
Fatalities,two  events,split across
suspected Police forces,Kenya Defence incident,were
four  others,group,size
Homabay Kanyamwa residents,increased cow area,size
primary  Journalists,primary  school,targeted
2021  students,four Tharaka prefects,size
suspected Elgeyo Marakwet injured,emergency treatment,details
One Laikipia man,incident,injured during
2021  group,continued Elgeyo Marakwet bandits,size
they,accidentally  Damasa,killed
unknown Homa Bay school,unknown Ndhiwa town,size
,local police Kabete,size
suspected Shabaab suicide bomber,two Kamloma village,detonated
unknown police officers,old  Garissa,group
this,vigilante justice,size
they,Ndhiwa town,size
Al Shabaab,responsibility,claimed
One Mandera militant,Special Forces Mandera town,killed
home December school,indefinitely  1000,size
senior  citizens,cultural Magarini town,size
000,small deputy traders,size
poor  Demonstrators,campaign them,size
other,incident,size
Hundreds,livestock,stolen
different  police,situation,size
43 Elgeyo animals,Tot town,stolen
three  who,road,size
Nairobi Dagoretti businessman,civilian traffic police clothes,stopped by
incident,ethnic  area,related to inter
plain cloth police officer,Moyale town,abducted
One body women,invasive body searches,found dead
ethnic Tana them,government ease,size
woman,rising Uriri town,size
man,gang,size
junior Garissa protest,multiagency Modika,size
where  members,4 Marsabit November,believed
loan who,out loan repayment Macalder,abducted
Kakamega he,stolen  cow,size
same Nairobi mother,hospital,size
two  who,Nakuru town,size
police,teargas crowd,size
one  other,Ol moran town,killed
man,Mlango Kubwa area,size
domestic Embu suspect,police,size
previous  Violence,Burji  communities,escalated between
man,suicide,size
Lari road firm driver,young  hit,size
motive,attack,reported
5 Samburu people,Suyan  village,injured
2021  mob,allegedly Machakos motorcycle,size
14 Samburu people,"1,000 Samburu cattle",killed
members,housing allowances,size
illegal coast They,nets,hundreds
Al Shabaab,responsibility,claimed
corporal CCTV they,further  2000,size
Two Bay gubernatorial vehicles,Bay gubernatorial seat,size
local  residents,mobile boda boda Buruburu,size
Nairobi Al They,former Al Nairobi,are
former Westlands women,targeted  groups,targeted
four Kericho suspect,police,size
GSU officers,Laikipia conservancy,deployed
2021 Mbeere South,unpaid Mill dues,size
attackers,unknown  cattle,killed
local  residents,other Wang'chieng town,size
British Laikipia Kenya,killing,size
,allegedly Manchester United,size
Kwale Tiwi Elders,future  generations,size
four Busia vehicles,Citizen TV vehicle,size
Kwale school students,low quality food,size
vehicles windows,unhurt,size
partially  motive,attack,were
president,Mashuuja day celebrations,size
One Kieni student,physical  injuries,size
local  residents,Kitui security area,size
local  residents,shallow Kericho grave,size
2021  residents,increased speed road,size
poor Teso group,ward 500,size
unspecified  Police,tear  group,size
poor working group,partial health facilities,size
15  Forces,IED,responded with
several Form women,witchcraft  sorcery,targeted
Elgeyo group,Interior region,size
Road Police he,10  children,size
agricultural Elgeyo motive,killing,is unknown
two Elgeyo motive,killing,is unknown
suspected police officers,young Majengo village,Mombasa
2021 police officers,stolen Longewan town,conducted
main  Police,tear  group,size
Milimani Al Shabaab militants,14  soldiers,claimed
Laikipia Laikipia group,32  cows,stole
old Kirinyaga suspect,custody,size
local  residents,public dumping site,size
ethnic  militia,unknown Samburu goats,shot
Wajir motive,killing,believed
local  residents,domestic Bomet dispute,size
he,wounds,killed
injured Kisumu person,police officers,size
One Laikipia militiaman,ethnic Ol Moran town,killed
married  Chief,report,rescued by
outsiders,gold mining residents,alleged
three  officers,injuries,arrested
former county he,Cherangani Kapsigilai town,shot
